employee_id,age,gender,department,job_level,years_experience,work_mode,weekly_work_hours,meetings_per_week,tasks_completed_per_week,collaboration_score,training_hours_per_year,salary_usd,last_promotion_months_ago,manager_rating,self_rating,sick_days_per_year,overtime_frequency,work_life_balance_score,stress_level,sleep_hours_avg,exercise_days_per_week,num_direct_reports,project_success_rate,remote_tools_proficiency,burnout_risk,productivity_score
EMP0001,50,Male,Data Science,Mid,7,Remote,54,16,30,5.69,79.0,155278,71,4.1,3.1,29,Rarely,1.12,1,7.6,6.0,3,0.97,10,0,100.0
EMP0002,36,Female,Finance,Lead,14,On-site,52,11,10,8.53,78.0,146054,63,4.7,4.3,14,Rarely,1.99,1,7.1,0.0,6,0.44,6,0,80.39
EMP0003,29,Male,Finance,Lead,30,Hybrid,38,11,13,8.47,56.0,42897,19,2.0,3.9,13,Never,4.27,8,7.6,5.0,0,0.86,4,0,70.25
EMP0004,42,Female,Operations,Junior,29,Hybrid,46,20,21,9.61,68.0,99541,3,2.3,3.5,13,Never,6.22,10,6.3,5.0,6,0.59,6,0,86.34
EMP0005,40,Female,Finance,Lead,19,Hybrid,41,2,35,7.28,69.0,141968,17,2.9,1.6,9,Sometimes,2.74,10,6.9,,7,0.42,3,1,100.0
EMP0006,44,Male,Operations,Mid,11,On-site,46,11,16,2.87,66.0,49892,50,4.7,4.3,1,Always,8.22,10,5.7,0.0,2,0.85,7,1,65.59
EMP0007,32,Female,Operations,Mid,16,Remote,57,3,27,1.18,47.0,174343,67,4.6,4.7,26,Never,7.78,2,5.6,3.0,2,0.6,6,1,100.0
EMP0008,32,Female,Operations,Senior,29,Remote,49,18,9,5.31,75.0,59815,19,1.4,1.5,5,Sometimes,7.26,9,6.2,1.0,3,0.83,3,0,44.62
EMP0009,45,Female,HR,Manager,28,Remote,49,8,7,5.62,99.0,80612,8,1.5,3.0,29,Always,5.39,9,7.6,6.0,5,0.82,1,1,46.32
EMP0010,57,Female,Marketing,Junior,18,On-site,41,8,28,3.16,32.0,51267,25,3.0,2.0,16,Rarely,4.29,2,6.2,5.0,6,0.72,10,0,98.69
EMP0011,45,Female,Operations,Mid,10,On-site,33,21,21,2.12,35.0,53268,24,1.4,4.0,4,Never,4.38,3,6.4,6.0,0,0.87,5,0,77.59
EMP0012,24,Female,Operations,Senior,33,Remote,43,10,30,6.28,32.0,149463,67,2.4,3.9,4,Sometimes,5.53,2,6.8,3.0,3,0.75,10,0,100.0
EMP0013,43,Male,Marketing,Senior,6,On-site,54,23,8,7.88,30.0,130347,40,1.6,1.6,14,Rarely,1.7,6,6.5,3.0,11,0.57,2,0,48.29
EMP0014,23,Male,Engineering,Senior,33,On-site,32,3,16,9.94,20.0,129542,58,3.5,4.5,14,Often,7.14,7,7.7,0.0,6,0.84,7,0,88.39
EMP0015,45,Male,Operations,Junior,19,Remote,36,15,5,7.82,26.0,101612,44,4.8,1.7,19,Rarely,4.16,6,5.6,6.0,10,0.75,7,0,55.82
EMP0016,51,Female,HR,Mid,23,Remote,46,18,25,8.14,90.0,173307,40,5.0,4.2,10,Sometimes,3.02,3,6.6,1.0,1,0.41,4,0,100.0
EMP0017,59,Male,Finance,Mid,9,Hybrid,37,2,23,6.55,71.0,123757,37,2.5,2.8,4,Always,3.5,3,7.1,4.0,0,0.94,6,0,92.65
EMP0018,23,Female,Finance,Lead,31,On-site,38,10,25,9.87,61.0,133075,18,3.4,2.3,27,Often,2.62,2,4.5,3.0,0,0.73,1,1,100.0
EMP0019,42,Female,Data Science,Mid,14,Remote,41,21,22,6.76,95.0,69609,13,4.4,1.6,0,Often,9.11,2,6.8,4.0,9,0.92,2,0,100.0
EMP0020,54,Female,Data Science,Junior,19,On-site,34,22,7,8.74,25.0,137785,20,1.5,1.7,10,Often,2.52,5,8.1,1.0,5,0.93,6,1,60.76
EMP0021,33,Non-binary,Finance,Manager,2,Remote,37,20,36,9.51,65.0,58645,14,3.8,3.6,10,Never,8.95,8,6.1,1.0,11,0.67,2,0,100.0
EMP0022,43,Female,Finance,Junior,7,Hybrid,50,5,14,9.37,11.0,97233,2,2.6,3.2,5,Sometimes,6.15,6,5.2,0.0,4,0.7,4,0,75.26
EMP0023,46,Female,HR,Manager,22,Hybrid,34,9,19,4.43,21.0,146443,36,1.8,1.5,22,Often,8.81,9,7.1,6.0,0,0.65,4,1,73.53
EMP0024,48,Male,Marketing,Senior,10,Hybrid,32,14,9,1.71,16.0,42771,45,2.6,1.5,7,Rarely,5.27,5,6.7,2.0,9,0.67,10,0,44.72
EMP0025,49,Female,Data Science,Lead,7,On-site,39,5,8,2.55,6.0,137601,15,1.3,1.3,1,Always,9.35,10,8.3,6.0,2,0.94,9,1,40.87
EMP0026,37,Male,Marketing,Mid,28,On-site,50,10,32,1.53,67.0,168014,13,3.8,4.0,14,Sometimes,2.9,4,7.0,5.0,10,0.87,10,0,100.0
EMP0027,36,Male,HR,Junior,29,On-site,43,10,8,1.95,36.0,160224,8,2.0,3.8,22,Rarely,5.99,9,5.4,0.0,6,0.48,7,1,27.72
EMP0028,24,Female,Finance,Senior,9,Remote,41,23,19,2.66,37.0,118251,6,2.2,1.2,21,Never,2.13,10,5.3,6.0,11,0.77,7,1,59.67
EMP0029,58,Female,Operations,Lead,27,Hybrid,45,19,21,4.07,95.0,92042,13,1.5,3.2,8,Often,5.02,5,7.5,4.0,8,1.0,1,0,86.44
EMP0030,28,Male,Marketing,Senior,12,Remote,31,13,7,5.89,,88740,5,4.5,1.3,14,Rarely,6.13,1,,6.0,8,0.76,5,0,62.58
EMP0031,42,Female,Finance,Junior,31,Hybrid,48,11,14,7.41,0.0,82024,14,3.0,4.6,7,Sometimes,6.45,5,6.4,0.0,5,0.87,3,0,76.18
EMP0032,30,Female,Finance,Senior,25,Hybrid,48,12,27,2.9,24.0,91965,51,3.3,4.6,29,Rarely,4.29,5,6.7,1.0,2,0.86,3,0,99.62
EMP0033,39,Female,Engineering,Senior,21,Hybrid,41,8,22,7.05,41.0,45057,71,3.3,3.8,15,Never,1.69,5,,3.0,0,0.61,6,0,92.79
EMP0034,25,Female,Marketing,Senior,3,Hybrid,53,10,5,7.34,51.0,43983,33,,4.7,26,Always,6.9,2,6.9,5.0,2,0.62,4,0,44.35
EMP0035,46,Female,Operations,Senior,30,On-site,35,7,39,6.03,23.0,165469,0,1.8,4.2,13,Often,5.4,6,4.7,5.0,9,0.83,8,1,100.0
EMP0036,35,Non-binary,Marketing,Lead,17,Remote,54,20,35,9.13,52.0,54995,68,4.0,4.3,14,Sometimes,2.23,5,8.0,2.0,1,0.7,4,0,100.0
EMP0037,30,Female,Finance,Senior,23,Hybrid,46,17,5,2.0,55.0,149587,19,1.5,3.3,19,Often,9.42,2,8.0,1.0,10,0.74,8,0,35.89
EMP0038,47,Female,Operations,Junior,22,Remote,42,16,7,2.59,62.0,73886,6,1.4,2.2,29,Often,9.6,10,8.7,5.0,4,0.83,4,1,36.13
EMP0039,23,Non-binary,HR,Mid,21,Remote,44,8,7,4.86,80.0,124025,6,3.8,1.9,12,Often,8.71,8,8.4,5.0,7,0.87,3,1,48.62
EMP0040,41,Female,Engineering,Junior,1,Remote,44,17,23,2.14,7.0,130149,49,1.8,2.3,8,Rarely,8.59,6,,,4,0.56,5,0,67.76
EMP0041,49,Male,Finance,Mid,30,On-site,54,6,33,6.1,58.0,129020,1,2.2,3.5,0,Rarely,1.89,10,6.2,4.0,0,0.49,5,1,100.0
EMP0042,28,Male,Data Science,Mid,10,On-site,36,17,29,4.59,44.0,37673,46,2.9,1.7,26,Always,9.94,3,6.9,4.0,2,0.58,10,0,100.0
EMP0043,29,Male,Data Science,Junior,27,On-site,38,2,37,3.56,26.0,112513,13,2.8,2.0,5,Never,4.6,9,7.9,4.0,11,0.7,10,0,100.0
EMP0044,56,Male,Engineering,Mid,31,On-site,53,20,33,2.53,51.0,58466,30,3.8,2.9,7,Sometimes,2.47,4,4.3,0.0,4,0.61,1,0,100.0
EMP0045,35,Female,HR,Junior,4,Remote,40,6,30,4.02,17.0,127545,49,3.5,1.9,26,Rarely,8.31,3,6.2,4.0,6,0.74,8,0,100.0
EMP0046,38,Female,Finance,Lead,9,Remote,52,8,8,6.47,90.0,85406,60,3.6,3.4,26,Often,3.03,7,4.5,4.0,4,0.43,8,1,43.73
EMP0047,57,Female,Marketing,Manager,23,Hybrid,58,20,18,6.18,85.0,169760,40,3.9,4.7,19,Never,5.74,8,6.8,0.0,9,0.71,8,1,84.27
EMP0048,25,Male,Engineering,Junior,34,Hybrid,41,23,31,2.47,15.0,104284,13,2.2,4.0,17,Sometimes,2.15,7,8.0,3.0,4,0.62,10,0,90.84
EMP0049,23,Female,HR,Manager,22,Hybrid,50,6,37,2.12,65.0,149579,4,2.3,3.7,26,Sometimes,5.27,1,6.5,1.0,6,0.72,4,0,100.0
EMP0050,27,Female,Marketing,Mid,16,Remote,35,18,26,1.24,4.0,48665,4,2.8,3.3,17,Sometimes,6.02,1,5.8,5.0,7,0.65,9,0,85.48
EMP0051,25,Female,Data Science,Mid,0,Hybrid,51,23,7,1.11,81.0,55641,63,2.2,3.0,25,Sometimes,5.01,5,6.8,2.0,7,0.57,10,0,31.79
